cluster,mean,std_error
1,0.13,0.016
2,0.207,0.023
3,0.281,0.024
4,0.24,0.026
5,0.333,0.03
6,0.339,0.027
7,0.393,0.026
8,0.426,0.026
9,0.427,0.031
10,0.462,0.028
11,0.46,0.028
12,0.429,0.028
13,0.486,0.026
14,0.474,0.025
15,0.483,0.026
16,0.489,0.032
17,0.481,0.03
18,0.49,0.033
19,0.492,0.03
20,0.504,0.027
21,0.475,0.03
22,0.488,0.033
23,0.505,0.027
24,0.49,0.031
25,0.523,0.029
26,0.53,0.029
27,0.518,0.027
28,0.523,0.029
29,0.534,0.028
30,0.539,0.028
31,0.509,0.03
32,0.504,0.029
33,0.499,0.027
34,0.514,0.028
35,0.528,0.031
36,0.53,0.029
37,0.528,0.031
38,0.511,0.026
39,0.5,0.03
40,0.516,0.029
41,0.527,0.031
42,0.525,0.026
43,0.518,0.025
44,0.526,0.028
45,0.561,0.03
46,0.505,0.032
47,0.532,0.03
48,0.525,0.029
49,0.543,0.025
50,0.528,0.026
51,0.547,0.025
52,0.513,0.034
53,0.553,0.028
54,0.528,0.028
55,0.525,0.027
56,0.513,0.028
57,0.527,0.03
58,0.546,0.027
59,0.54,0.027
60,0.528,0.028
61,0.554,0.029
62,0.533,0.03
63,0.531,0.028
64,0.532,0.028
65,0.523,0.032
66,0.537,0.029
67,0.535,0.03
68,0.52,0.031
69,0.537,0.028
70,0.541,0.028
71,0.523,0.032
72,0.521,0.029
73,0.534,0.028
74,0.532,0.028
75,0.555,0.031
76,0.54,0.025
77,0.524,0.029
78,0.524,0.03
79,0.543,0.031
80,0.553,0.028
81,0.532,0.028
82,0.547,0.03
83,0.532,0.032
84,0.531,0.03
85,0.546,0.032
86,0.551,0.028
87,0.548,0.028
88,0.524,0.031
89,0.553,0.032
90,0.522,0.033
91,0.546,0.028
92,0.562,0.027
93,0.558,0.028
94,0.563,0.028
95,0.573,0.028
