cluster,mean,std_error
1,0.194,0.017
2,0.581,0.027
3,0.843,0.029
4,0.857,0.021
5,0.887,0.02
6,0.908,0.019
7,0.93,0.016
8,0.939,0.017
9,0.943,0.015
10,0.941,0.015
11,0.946,0.014
12,0.951,0.013
13,0.965,0.012
14,0.961,0.013
15,0.965,0.011
16,0.966,0.011
17,0.972,0.009
18,0.965,0.012
19,0.959,0.013
20,0.96,0.012
21,0.961,0.012
22,0.964,0.012
23,0.963,0.011
24,0.957,0.012
25,0.974,0.01
26,0.962,0.011
27,0.964,0.01
28,0.959,0.012
29,0.96,0.012
30,0.961,0.011
31,0.953,0.013
32,0.958,0.012
33,0.964,0.011
34,0.968,0.011
35,0.953,0.013
36,0.958,0.011
37,0.949,0.014
38,0.956,0.013
39,0.959,0.012
40,0.956,0.012
41,0.947,0.015
42,0.966,0.01
43,0.966,0.012
44,0.963,0.012
45,0.969,0.012
46,0.955,0.013
47,0.964,0.011
48,0.954,0.013
49,0.956,0.013
50,0.961,0.011
51,0.948,0.015
52,0.953,0.012
53,0.948,0.013
54,0.958,0.011
55,0.95,0.013
56,0.952,0.012
57,0.958,0.015
58,0.963,0.011
59,0.96,0.012
60,0.95,0.012
61,0.963,0.012
62,0.96,0.013
63,0.954,0.013
64,0.944,0.014
65,0.952,0.015
66,0.972,0.01
67,0.959,0.014
68,0.948,0.013
69,0.952,0.014
70,0.955,0.013
71,0.96,0.012
72,0.963,0.012
73,0.958,0.012
74,0.949,0.015
75,0.966,0.011
76,0.951,0.013
77,0.95,0.014
78,0.955,0.012
79,0.946,0.013
80,0.965,0.01
81,0.953,0.012
82,0.951,0.015
83,0.954,0.013
84,0.968,0.011
85,0.955,0.011
86,0.954,0.012
87,0.962,0.011
88,0.957,0.012
89,0.96,0.013
90,0.959,0.014
91,0.953,0.012
92,0.95,0.013
93,0.954,0.012
94,0.965,0.01
95,0.964,0.012
96,0.955,0.012
97,0.936,0.016
98,0.962,0.012
99,0.963,0.012
100,0.956,0.013
101,0.953,0.012
102,0.953,0.013
103,0.957,0.013
104,0.958,0.014
105,0.959,0.011
106,0.962,0.011
107,0.954,0.014
108,0.957,0.012
109,0.963,0.011
110,0.953,0.013
111,0.972,0.011
112,0.942,0.014
113,0.967,0.01
114,0.962,0.012
115,0.952,0.015
116,0.956,0.015
117,0.96,0.013
118,0.96,0.012
119,0.949,0.012
120,0.961,0.012
121,0.949,0.014
122,0.96,0.011
123,0.961,0.012
124,0.963,0.011
125,0.955,0.012
126,0.962,0.011
127,0.965,0.011
128,0.947,0.013
129,0.958,0.012
130,0.958,0.01
131,0.955,0.013
132,0.958,0.012
133,0.956,0.012
134,0.958,0.013
135,0.96,0.013
136,0.956,0.012
137,0.96,0.011
138,0.964,0.01
139,0.953,0.013
140,0.958,0.012
